0,1,2,3,4,5,6,7,8,9,10,chain_break_fraction,energy,num_occurrences
0,1,0,1,1,1,0,1,1,0,1,0.0,-395.27000000000004,879
1,0,1,0,0,0,1,0,0,1,0,0.0,-395.27,565
1,0,1,0,1,1,0,0,0,1,0,0.0,-372.80999999999995,117
0,1,0,1,0,0,1,1,1,0,1,0.0,-372.81,240
0,1,0,1,1,1,0,1,1,0,0,0.0,-357.99,27
1,0,1,0,0,0,1,0,0,1,1,0.0,-357.99,34
0,1,0,1,1,0,0,1,1,0,1,0.0,-342.17,5
1,0,1,0,0,1,1,0,0,1,0,0.0,-342.16999999999996,7
1,0,0,0,0,0,1,0,0,1,0,0.0,-340.82,8
0,1,1,1,1,1,0,1,1,0,1,0.0,-340.82,12
0,1,0,1,0,0,1,1,1,0,0,0.0,-335.53,9
1,0,1,0,1,1,0,0,0,1,1,0.0,-335.53,4
0,0,1,0,1,1,0,0,1,1,0,0.0,-332.92,8
1,1,0,1,0,0,1,1,0,0,1,0.0,-332.92,24
0,0,1,0,1,1,0,1,1,1,1,0.0,-331.11000000000007,4
1,1,0,1,0,0,1,0,0,0,0,0.0,-331.10999999999996,18
1,0,1,0,0,0,0,0,0,1,0,0.0,-320.45,1
0,1,0,1,1,1,1,1,1,0,1,0.0,-320.45000000000005,4
1,0,1,0,1,0,0,0,0,1,0,0.0,-319.71,1
0,1,0,1,0,1,1,1,1,0,1,0.0,-319.7099999999999,4
1,0,0,0,1,1,0,0,0,1,0,0.0,-318.36,4
0,1,1,1,0,0,1,1,1,0,1,0.0,-318.36,2
1,1,0,1,1,1,0,1,0,0,1,0.0,-310.46000000000004,6
1,1,0,1,1,1,0,0,0,0,0,0.0,-308.65,4
0,0,1,0,0,0,1,1,1,1,1,0.0,-308.65,3
0,1,1,1,1,1,0,1,1,0,0,0.0,-303.54,1
1,1,0,1,0,0,1,1,0,0,0,0.0,-295.64,1
1,0,1,0,1,1,0,0,0,0,0,0.0,-291.62,1
1,1,0,1,0,1,1,1,0,0,1,0.0,-279.82,3
1,1,0,1,1,1,0,1,0,0,0,0.0,-273.18,1
1,0,1,0,0,1,1,0,0,0,0,0.0,-260.98,1
0,0,0,1,1,1,0,1,1,0,1,0.0,-240.82000000000002,1
1,1,0,1,0,0,0,0,1,0,1,0.0,-119.01000000000002,1
