0,1,2,3,4,5,6,7,8,9,10,11,12,chain_break_fraction,energy,num_occurrences
0,1,0,0,1,1,0,1,1,1,0,0,0,0.0,-469.49999999999994,693
1,0,1,1,0,0,1,0,0,0,1,1,1,0.0,-469.50000000000006,785
0,1,0,0,0,1,1,1,0,1,0,0,0,0.0,-447.03999999999996,190
1,0,1,1,1,0,0,0,1,0,1,1,1,0.0,-447.04,105
1,0,1,1,0,0,1,0,1,0,1,1,1,0.0,-432.2200000000001,37
0,1,0,0,1,1,0,1,0,1,0,0,0,0.0,-432.21999999999997,20
0,1,0,0,1,1,0,1,1,1,1,0,0,0.0,-416.3999999999999,5
1,0,1,1,0,0,1,0,0,0,0,1,1,0.0,-416.4,9
0,0,0,0,1,0,0,1,1,1,0,0,0,0.0,-415.05,34
1,1,1,1,0,1,1,0,0,0,1,1,1,0.0,-415.04999999999995,23
0,1,0,0,0,1,1,1,1,1,0,0,0,0.0,-409.76,9
1,0,1,1,1,0,0,0,0,0,1,1,1,0.0,-409.76,6
0,0,1,1,1,0,0,0,1,1,1,1,1,0.0,-407.15000000000003,11
1,1,0,0,0,1,1,1,0,0,0,0,0,0.0,-407.15000000000003,14
0,1,1,0,1,1,0,1,1,1,0,0,0,0.0,-405.34,4
1,0,0,1,0,0,1,0,0,0,1,1,1,0.0,-405.34000000000003,6
0,1,1,0,1,1,0,1,1,1,0,1,1,0.0,-395.27,3
0,1,0,0,1,1,1,1,1,1,0,0,0,0.0,-394.68,1
1,0,1,1,0,0,0,0,0,0,1,1,1,0.0,-394.68000000000006,2
0,1,0,0,0,1,1,1,0,1,1,0,0,0.0,-393.93999999999994,1
1,0,1,1,1,0,0,0,1,0,0,1,1,0.0,-393.94,1
1,1,1,1,1,1,0,0,1,0,1,1,1,0.0,-392.59,3
0,0,0,0,0,0,1,1,0,1,0,0,0,0.0,-392.59,7
0,0,0,1,1,0,0,1,1,1,1,0,0,0.0,-388.31,4
1,1,1,0,0,1,1,0,0,0,0,1,1,0.0,-388.30999999999995,3
0,1,1,0,1,1,0,1,1,1,0,0,1,0.0,-387.19,2
0,0,1,1,0,0,1,0,0,1,1,1,1,0.0,-384.69,4
1,1,0,0,1,1,0,1,1,0,0,0,0,0.0,-384.69,2
1,0,0,1,1,0,0,0,1,0,1,1,1,0.0,-382.88,1
0,1,1,0,0,1,1,1,0,1,0,0,0,0.0,-382.87999999999994,3
1,1,1,1,0,1,1,0,1,0,1,1,1,0.0,-377.77,1
0,0,0,0,1,0,0,1,0,1,0,0,0,0.0,-377.77,2
0,1,1,0,1,1,0,1,0,1,0,0,0,0.0,-368.05999999999995,1
0,0,1,1,1,0,0,0,1,1,0,1,1,0.0,-354.05,2
1,0,0,0,0,0,1,1,0,0,0,0,0,0.0,-352.70000000000005,1
1,1,1,0,0,1,1,0,1,0,0,1,1,0.0,-351.03,1
1,0,0,1,0,0,1,0,0,0,0,1,0,0.0,-334.09000000000003,1
0,1,0,0,1,1,0,1,1,1,0,1,1,0.0,-331.11,1
0,1,0,0,1,1,0,1,1,1,0,0,1,0.0,-323.03,1
0,0,0,0,1,1,0,1,1,1,0,0,0,0.0,-315.04999999999995,1
