0,1,2,3,4,5,chain_break_fraction,energy,num_occurrences
1,0,1,0,0,0,0.0,-0.06,39
1,0,1,1,0,1,0.0,-0.06,15
1,1,1,1,0,1,0.0,-0.06,27
0,1,0,0,1,1,0.0,-0.06,31
0,1,1,0,1,0,0.0,-0.06,47
0,0,0,0,1,1,0.0,-0.06,32
0,0,1,1,1,0,0.0,-0.06,34
0,0,1,0,1,1,0.0,-0.06,37
0,0,0,0,1,0,0.0,-0.06,48
1,0,1,1,0,0,0.0,-0.06,36
0,1,0,1,1,0,0.0,-0.06,42
0,0,0,1,1,1,0.0,-0.06,26
1,1,1,0,0,0,0.0,-0.06,31
0,0,1,1,1,1,0.0,-0.06,22
1,1,0,1,0,0,0.0,-0.06,43
0,1,0,0,1,0,0.0,-0.06,32
1,0,0,1,0,0,0.0,-0.06,28
1,0,1,0,0,1,0.0,-0.06,18
1,1,0,0,0,0,0.0,-0.06,38
0,0,0,1,1,0,0.0,-0.06,40
1,1,1,0,0,1,0.0,-0.06,23
1,0,0,0,0,1,0.0,-0.06,27
0,1,1,0,1,1,0.0,-0.06,31
0,1,1,1,1,1,0.0,-0.06,22
1,1,1,1,0,0,0.0,-0.06,26
0,1,1,1,1,0,0.0,-0.06,22
0,0,1,0,1,0,0.0,-0.06,33
1,1,0,1,0,1,0.0,-0.06,28
1,0,0,1,0,1,0.0,-0.06,25
1,1,0,0,0,1,0.0,-0.06,27
1,0,0,0,0,0,0.0,-0.06,50
0,1,0,1,1,1,0.0,-0.06,20
