0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,chain_break_fraction,energy,num_occurrences
0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0.0,-22.72802868878887,338
1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0.0,-22.724884021098145,61
1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0.0,-22.68171567598547,83
0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0.0,-22.67662676459026,153
0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0.0,-22.606577485301152,100
1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0.0,-22.60209332437582,66
1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0.0,-22.472237133937337,10
0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0.0,-22.467156437488697,73
1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0.0,-22.337989611650773,2
0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0.0,-22.335441788560356,17
0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0.0,-22.28973235514289,10
1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0.0,-22.289128775756954,9
1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0.0,-22.244918072262273,11
0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0.0,-22.23783422675314,19
1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0.0,-22.215198914928447,4
0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0.0,-22.21399058507264,4
1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0.0,-22.130052695543846,1
0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0.0,-22.126291963978016,3
1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0.0,-22.108255711752875,2
0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0.0,-22.10467212663086,1
0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0.0,-22.08179543903596,2
1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0.0,-22.079978951174613,1
0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0.0,-22.074569537260185,2
0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0.047619047619047616,-21.79343324352182,1
1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0.0,-21.85630196483648,1
1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0.0,-21.853792946500352,1
0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0.0,-21.851548854612943,1
0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0.0,-21.85093981730577,2
0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0.0,-21.79898878904901,4
1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0.0,-21.793062418890894,1
0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0.0,-21.760440795518928,1
1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0.0,-21.749894073778222,2
0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0.0,-21.747586864850398,2
0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0.0,-21.65398268086693,1
0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0.0,-21.64363786855626,1
1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0.0,-21.641244588286543,1
0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0.0,-21.489533848877674,2
1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0.0,-21.417456527132348,1
1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0.0,-21.39722164253823,1
0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0.047619047619047616,-22.72802868878887,1
0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0.0,-21.155812282816065,1
0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0.0,-21.067197190040815,1
1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0.0,-20.862391022301743,1
1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0.0,-20.252871562481772,1
