0,1,2,3,4,5,6,chain_break_fraction,energy,num_occurrences
1,0,1,0,0,0,1,0.0,-0.21000000000000002,37
0,0,1,0,1,0,0,0.0,-0.21000000000000002,38
1,0,0,0,0,1,0,0.0,-0.21000000000000002,25
1,0,1,1,0,0,0,0.0,-0.21000000000000002,35
0,0,0,0,1,1,1,0.0,-0.21000000000000002,29
0,0,1,1,1,0,0,0.0,-0.21000000000000002,28
0,1,0,0,1,1,0,0.0,-0.21000000000000002,15
0,1,0,1,1,1,1,0.0,-0.21000000000000002,27
1,1,0,1,0,1,1,0.0,-0.21000000000000002,17
0,0,0,1,1,1,1,0.0,-0.21000000000000002,19
1,0,0,1,0,1,1,0.0,-0.21000000000000002,21
0,1,0,0,1,1,1,0.0,-0.21000000000000002,19
0,0,0,0,1,1,0,0.0,-0.21000000000000002,23
0,0,1,1,1,0,1,0.0,-0.21000000000000002,46
0,1,1,1,1,0,0,0.0,-0.21000000000000002,31
1,1,1,0,0,0,0,0.0,-0.21000000000000002,43
0,0,0,1,1,1,0,0.0,-0.21000000000000002,24
0,1,0,1,1,1,0,0.0,-0.21000000000000002,27
1,0,0,1,0,1,0,0.0,-0.21000000000000002,25
1,0,0,0,0,1,1,0.0,-0.21000000000000002,24
1,1,0,1,0,1,0,0.0,-0.21000000000000002,28
1,1,1,0,0,0,1,0.0,-0.21000000000000002,40
1,0,1,1,0,0,1,0.0,-0.21000000000000002,47
0,1,1,0,1,0,1,0.0,-0.21000000000000002,45
0,1,1,0,1,0,0,0.0,-0.21000000000000002,40
0,0,1,0,1,0,1,0.0,-0.21000000000000002,35
1,1,1,1,0,0,1,0.0,-0.21000000000000002,46
1,0,1,0,0,0,0,0.0,-0.21000000000000002,37
1,1,0,0,0,1,1,0.0,-0.21000000000000002,32
1,1,0,0,0,1,0,0.0,-0.21000000000000002,26
0,1,1,1,1,0,1,0.0,-0.21000000000000002,38
1,1,1,1,0,0,0,0.0,-0.21000000000000002,33
