0,1,2,3,4,5,chain_break_fraction,energy,num_occurrences
0,1,1,0,1,0,0.0,-0.18,38
1,1,0,1,0,0,0.0,-0.18,58
1,0,0,1,0,1,0.0,-0.18,70
1,0,0,0,0,1,0.0,-0.18,64
0,0,1,0,1,1,0.0,-0.18,46
0,1,1,0,0,0,0.0,-0.18,39
0,0,1,0,0,1,0.0,-0.18,38
1,0,0,0,1,1,0.0,-0.18,93
0,1,1,1,1,0,0.0,-0.18,55
0,1,1,1,0,0,0.0,-0.18,52
1,0,0,1,1,1,0.0,-0.18,102
1,1,0,0,1,0,0.0,-0.18,75
1,1,0,1,1,0,0.0,-0.18,104
0,0,1,1,0,1,0.0,-0.18,41
1,1,0,0,0,0,0.0,-0.18,67
0,0,1,1,1,1,0.0,-0.18,54
1,1,1,0,1,0,0.0,-0.11836002994516952,1
0,0,0,0,0,1,0.0,-0.11,1
0,1,0,0,1,0,0.0,-0.11,1
1,0,0,1,1,0,0.0,-0.07,1
