0,1,2,3,chain_break_fraction,energy,num_occurrences
1,0,0,1,0.0,-55.5,658
0,1,1,0,0.0,-55.5,653
0,1,1,1,0.0,-47.85000000000002,418
1,0,0,0,0.0,-47.85,152
1,0,1,1,0.0,-34.71000000000001,61
0,1,0,0,0.0,-34.71,49
1,1,1,1,0.0,2.842170943040401e-14,2
0,0,0,0,0.0,0.0,1
0,0,1,0,0.0,3.13,1
0,0,1,1,0.0,13.139999999999986,5
