0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
1,1,0,0,1,1,1,1,0.0,-32.019999999999754,391
0,0,1,1,0,0,0,0,0.0,-32.02000000000001,575
1,1,1,0,1,1,1,1,0.0,-15.840000000000089,213
0,0,0,1,0,0,0,0,0.0,-15.84,274
1,0,0,0,1,1,1,1,0.0,-11.620000000000147,209
0,1,1,1,0,0,0,0,0.0,-11.61999999999999,94
0,0,0,0,0,0,0,0,0.0,0.0,174
1,1,1,1,1,1,1,1,0.0,-2.2737367544323206e-13,24
0,1,1,0,1,1,0,1,0.0,62.86999999999986,17
0,1,1,0,1,1,1,1,0.0,72.56999999999994,2
1,0,0,1,0,0,0,0,0.0,72.57000000000005,1
0,0,1,0,1,1,0,1,0.0,82.44999999999993,17
1,0,0,0,1,1,1,0,0.0,86.91999999999986,2
0,0,0,0,0,0,1,0,0.0,88.82,3
0,0,1,0,0,0,0,0,0.0,107.8,1
1,0,1,0,1,1,1,1,0.0,171.77999999999986,1
0,0,0,0,1,1,0,0,0.0,297.66999999999996,1
1,0,0,0,1,1,1,1,0.125,-11.620000000000147,1
