0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
1,0,0,1,0,1,0,1,0.0,-0.33,37
1,0,1,0,0,1,0,0,0.0,-0.33,36
0,1,0,1,1,1,0,0,0.0,-0.33,21
0,1,1,0,0,0,1,1,0.0,-0.33,27
0,1,1,0,1,1,0,0,0.0,-0.33,24
0,1,0,1,0,0,1,1,0.0,-0.33,21
0,1,1,0,1,0,1,0,0.0,-0.33,36
0,1,0,1,0,1,0,0,0.0,-0.33,17
1,0,0,1,1,0,1,1,0.0,-0.33,31
0,1,0,1,0,0,1,0,0.0,-0.33,24
1,0,1,0,0,1,0,1,0.0,-0.33,38
0,1,1,0,1,1,0,1,0.0,-0.33,28
1,0,1,0,1,0,1,1,0.0,-0.33,48
0,1,1,0,0,1,0,0,0.0,-0.33,22
1,0,1,0,1,1,0,0,0.0,-0.33,51
0,1,0,1,1,0,1,0,0.0,-0.33,35
1,0,1,0,1,0,1,0,0.0,-0.33,29
0,1,0,1,0,1,0,1,0.0,-0.33,24
1,0,1,0,1,1,0,1,0.0,-0.33,36
1,0,0,1,0,0,1,1,0.0,-0.33,36
1,0,1,0,0,0,1,0,0.0,-0.33,28
1,0,0,1,1,1,0,1,0.0,-0.33,38
1,0,0,1,0,1,0,0,0.0,-0.33,27
0,1,0,1,1,1,0,1,0.0,-0.33,23
0,1,0,1,1,0,1,1,0.0,-0.33,29
1,0,0,1,0,0,1,0,0.0,-0.33,35
1,0,1,0,0,0,1,1,0.0,-0.33,34
0,1,1,0,0,1,0,1,0.0,-0.33,27
1,0,0,1,1,0,1,0,0.0,-0.33,38
1,0,0,1,1,1,0,0,0.0,-0.33,42
0,1,1,0,1,0,1,1,0.0,-0.33,29
0,1,1,0,0,0,1,0,0.0,-0.33,24
1,1,1,0,0,0,1,0,0.0,-0.22280103895763828,1
0,1,0,1,1,0,0,0,0.0,-0.22,1
1,0,1,0,1,0,0,1,0.0,-0.22,1
1,0,0,1,1,0,0,1,0.0,-0.22,1
0,0,0,1,1,0,1,1,0.0,-0.22,1
