0,1,2,3,4,5,chain_break_fraction,energy,num_occurrences
0,1,1,1,0,1,0.0,-0.19,37
0,1,1,1,0,0,0.0,-0.19,34
0,1,1,0,1,0,0.0,-0.19,18
1,1,0,1,0,0,0.0,-0.19,66
1,1,0,1,0,1,0.0,-0.19,64
1,1,0,0,1,1,0.0,-0.19,54
0,0,1,1,0,1,0.0,-0.19,75
0,0,1,1,0,0,0.0,-0.19,78
1,0,0,0,1,1,0.0,-0.19,90
1,0,0,1,0,0,0.0,-0.19,117
1,1,0,0,1,0,0.0,-0.19,40
0,1,1,0,1,1,0.0,-0.19,35
1,0,0,1,0,1,0.0,-0.19,121
0,0,1,0,1,0,0.0,-0.19,41
1,0,0,0,1,0,0.0,-0.19,66
0,0,1,0,1,1,0.0,-0.19,57
1,0,0,1,1,0,0.0,-0.12214858209004886,2
1,0,0,1,1,1,0.0,-0.12214858209004886,1
1,1,0,0,0,1,0.0,-0.12,1
1,0,0,0,0,1,0.0,-0.12,1
0,0,1,0,0,0,0.0,-0.12,1
0,0,0,0,1,1,0.0,-0.07,1
