0,1,2,3,4,5,6,7,8,9,10,11,12,chain_break_fraction,energy,num_occurrences
1,0,0,1,0,0,0,0,1,1,0,0,1,0.0,-2.497367059725528,12
1,0,0,1,0,0,1,0,1,1,0,1,0,0.0,-2.497367059725528,11
1,0,0,1,0,0,1,0,1,1,0,0,1,0.0,-2.497367059725528,18
1,0,0,1,0,0,0,0,1,1,0,1,0,0.0,-2.497367059725528,19
1,0,0,1,0,0,0,1,0,0,1,0,1,0.0,-2.4951294653468254,27
1,0,0,1,0,0,1,1,0,0,1,0,1,0.0,-2.4951294653468254,25
1,0,0,1,0,0,1,1,0,0,1,1,0,0.0,-2.4951294653468254,21
1,0,0,1,0,0,0,1,0,0,1,1,0,0.0,-2.4951294653468254,35
1,0,0,0,1,1,1,0,1,1,0,0,1,0.0,-2.4915576970394477,5
1,0,0,0,1,1,0,0,1,1,0,0,1,0.0,-2.4915576970394477,12
1,0,0,0,1,1,0,0,1,1,0,1,0,0.0,-2.4915576970394477,8
1,0,0,0,1,1,1,0,1,1,0,1,0,0.0,-2.4915576970394477,10
0,1,1,1,0,0,0,0,1,1,0,0,1,0.0,-2.4901680986831662,13
0,1,1,1,0,0,1,0,1,1,0,1,0,0.0,-2.4901680986831662,18
0,1,1,1,0,0,1,0,1,1,0,0,1,0.0,-2.4901680986831662,13
0,1,1,1,0,0,0,0,1,1,0,1,0,0.0,-2.4901680986831662,25
1,0,0,0,1,1,0,1,0,0,1,1,0,0.0,-2.489320102660745,23
1,0,0,0,1,1,1,1,0,0,1,0,1,0.0,-2.489320102660745,15
1,0,0,0,1,1,0,1,0,0,1,0,1,0.0,-2.489320102660745,22
1,0,0,0,1,1,1,1,0,0,1,1,0,0.0,-2.489320102660745,13
0,1,1,1,0,0,0,1,0,0,1,0,1,0.0,-2.487930504304464,29
0,1,1,1,0,0,1,1,0,0,1,0,1,0.0,-2.487930504304464,17
0,1,1,1,0,0,0,1,0,0,1,1,0,0.0,-2.487930504304464,31
0,1,1,1,0,0,1,1,0,0,1,1,0,0.0,-2.487930504304464,34
0,1,1,0,1,1,1,0,1,1,0,0,1,0.0,-2.484358735997086,10
0,1,1,0,1,1,1,0,1,1,0,1,0,0.0,-2.484358735997086,6
0,1,1,0,1,1,0,0,1,1,0,1,0,0.0,-2.484358735997086,9
0,1,1,0,1,1,0,0,1,1,0,0,1,0.0,-2.484358735997086,8
0,1,1,0,1,1,0,1,0,0,1,0,1,0.0,-2.4821211416183835,18
0,1,1,0,1,1,1,1,0,0,1,1,0,0.0,-2.4821211416183835,10
0,1,1,0,1,1,1,1,0,0,1,0,1,0.0,-2.4821211416183835,15
0,1,1,0,1,1,0,1,0,0,1,1,0,0.0,-2.4821211416183835,18
1,0,0,0,0,1,1,0,1,1,0,0,1,0.0,-2.457367059725528,7
1,0,0,0,0,1,0,0,1,1,0,0,1,0.0,-2.457367059725528,10
1,0,0,0,0,1,1,0,1,1,0,1,0,0.0,-2.457367059725528,7
1,0,0,0,0,1,0,0,1,1,0,1,0,0.0,-2.457367059725528,12
