0,1,2,3,4,5,chain_break_fraction,energy,num_occurrences
0,1,0,0,1,0,0.0,-0.19,37
0,0,1,0,1,0,0.0,-0.19,53
0,0,1,1,0,1,0.0,-0.19,64
0,0,1,1,1,0,0.0,-0.19,65
1,1,0,0,1,0,0.0,-0.19,46
1,1,0,1,0,1,0.0,-0.19,83
1,0,1,1,1,0,0.0,-0.19,82
1,0,1,0,1,0,0.0,-0.19,59
1,0,1,0,0,1,0.0,-0.19,73
0,1,0,1,0,1,0.0,-0.19,48
1,1,0,0,0,1,0.0,-0.19,55
1,1,0,1,1,0,0.0,-0.19,70
1,0,1,1,0,1,0.0,-0.19,85
0,1,0,0,0,1,0.0,-0.19,51
0,0,1,0,0,1,0.0,-0.19,65
0,1,0,1,1,0,0.0,-0.19,52
0,1,0,0,1,1,0.0,-0.12736705972552784,1
1,0,1,0,1,1,0.0,-0.12736705972552784,1
1,1,0,1,1,1,0.0,-0.12736705972552784,4
1,0,1,1,1,1,0.0,-0.12736705972552784,3
1,1,0,0,0,0,0.0,-0.12,1
1,1,0,1,0,0,0.0,-0.12,1
1,1,1,1,0,1,0.0,-0.07564007600593364,1
