0,1,2,3,4,5,6,chain_break_fraction,energy,num_occurrences
1,1,0,1,0,0,1,0.0,-147.85000000000002,329
0,0,1,0,1,1,0,0.0,-147.85000000000002,403
1,1,0,1,0,1,1,0.0,-146.67000000000002,380
0,0,1,0,1,0,0,0.0,-146.67000000000002,273
0,1,0,1,1,0,1,0.0,-135.89000000000004,132
1,0,1,0,0,1,0,0.0,-135.89000000000001,165
0,1,0,1,1,1,1,0.0,-134.71000000000004,164
1,0,1,0,0,0,0,0.0,-134.71,116
0,1,0,1,0,0,1,0.0,-100.00000000000001,4
1,0,1,0,1,1,0,0.0,-100.0,7
0,1,0,1,0,1,1,0.0,-98.82000000000002,6
1,0,1,0,1,0,0,0.0,-98.82000000000001,7
1,1,0,1,1,0,1,0.0,-88.04,3
0,0,1,0,0,1,0,0.0,-88.03999999999999,1
1,1,0,1,1,1,1,0.0,-86.86000000000001,1
0,0,1,0,0,0,0,0.0,-86.86,3
1,1,0,1,0,0,0,0.0,-56.68000000000001,2
0,0,1,0,1,1,1,0.0,-56.68000000000002,1
0,0,1,1,1,0,1,0.0,-46.670000000000044,1
0,1,0,1,1,0,0,0.0,-44.72000000000003,1
1,0,0,0,0,1,1,0.0,44.5,1
