0,1,2,3,4,5,6,7,8,9,chain_break_fraction,energy,num_occurrences
1,1,1,1,0,1,1,1,0,0,0.0,-147.85000000000002,400
0,0,0,0,1,0,0,0,1,1,0.0,-147.85,384
1,1,0,1,0,0,1,0,0,0,0.0,-146.67000000000002,249
0,0,1,0,1,1,0,1,1,1,0.0,-146.67,510
1,1,0,1,0,1,1,1,0,0,0.0,-135.89000000000001,69
0,0,1,0,1,0,0,0,1,1,0.0,-135.89,132
1,1,1,1,0,0,1,0,0,0,0.0,-134.71,70
0,0,0,0,1,1,0,1,1,1,0.0,-134.70999999999998,101
1,1,1,1,0,1,1,1,0,1,0.0,-112.04000000000002,13
0,0,0,0,1,0,0,0,1,0,0.0,-112.03999999999999,12
1,1,0,1,0,0,1,0,0,1,0.0,-110.86000000000001,8
0,0,1,0,1,1,0,1,1,0,0.0,-110.85999999999999,14
1,1,0,1,0,1,1,1,0,1,0.0,-100.08000000000001,2
0,0,1,0,1,0,0,0,1,0,0.0,-100.07999999999998,3
0,1,1,1,0,1,1,1,0,0,0.0,-100.00000000000001,4
1,0,0,0,1,0,0,0,1,1,0.0,-100.0,3
1,1,1,1,0,0,1,0,0,1,0.0,-98.9,1
0,0,0,0,1,1,0,1,1,0,0.0,-98.89999999999999,7
0,1,0,1,0,0,1,0,0,0,0.0,-98.82000000000002,5
0,1,0,1,0,1,1,1,0,0,0.0,-88.04000000000003,1
1,0,1,0,1,0,0,0,1,1,0.0,-88.03999999999999,3
1,0,0,0,1,1,0,1,1,1,0.0,-86.86,3
0,1,1,1,0,1,1,1,1,1,0.0,-72.47000000000001,1
1,0,0,0,1,0,0,0,0,0,0.0,-72.47,1
0,1,0,1,0,0,1,0,1,1,0.0,-71.29000000000002,1
1,1,1,1,0,1,1,0,0,0,0.0,-70.48,1
1,1,1,1,0,0,1,1,0,0,0.0,-57.34,1
0,1,0,1,1,0,1,0,1,1,0.0,-46.670000000000016,1
