0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
0,1,1,1,0,1,1,0,0.0,-147.85000000000002,321
1,0,0,0,1,0,0,1,0.0,-147.85,517
1,1,0,1,0,0,1,0,0.0,-146.67000000000002,228
0,0,1,0,1,1,0,1,0.0,-146.67,443
0,1,0,1,0,1,1,0,0.0,-135.89000000000004,121
1,0,1,0,1,0,0,1,0.0,-135.89,93
1,1,1,1,0,0,1,0,0.0,-134.71,37
0,0,0,0,1,1,0,1,0.0,-134.70999999999998,210
1,1,1,1,0,1,1,0,0.0,-100.00000000000001,2
0,0,0,0,1,0,0,1,0.0,-100.0,8
0,1,0,1,0,0,1,0,0.0,-98.82000000000002,3
1,0,1,0,1,1,0,1,0.0,-98.82,2
1,0,0,0,1,1,0,1,0.0,-86.86,1
0,1,1,1,0,1,1,1,0.0,-72.47000000000003,2
1,0,0,0,1,0,0,0,0.0,-72.47,3
1,1,0,1,0,0,1,1,0.0,-71.29000000000002,1
0,0,1,0,1,1,0,0,0.0,-71.28999999999999,2
1,0,1,0,1,0,0,0,0.0,-60.51,1
0,0,0,0,1,1,0,0,0.0,-59.33,1
1,1,0,1,1,0,1,1,0.0,-46.670000000000016,1
0,1,1,0,0,1,0,0,0.0,-46.67,1
1,0,1,1,1,0,0,1,0.0,-43.53999999999999,1
0,1,0,0,0,1,0,0,0.0,-34.71,1
