0,1,2,3,4,5,6,chain_break_fraction,energy,num_occurrences
1,0,0,0,0,1,0,0.0,-0.37,14
1,1,0,0,0,1,1,0.0,-0.37,23
1,1,0,0,0,0,0,0.0,-0.37,51
1,0,1,0,0,0,0,0.0,-0.37,38
1,1,1,0,0,0,1,0.0,-0.37,36
1,0,0,0,0,1,1,0.0,-0.37,18
1,1,0,0,0,0,1,0.0,-0.37,35
1,1,1,0,0,0,0,0.0,-0.37,51
1,0,0,0,0,0,1,0.0,-0.37,36
1,1,1,0,0,1,0,0.0,-0.37,24
1,0,0,0,0,0,0,0.0,-0.37,29
1,0,1,0,0,0,1,0.0,-0.37,49
1,1,1,0,0,1,1,0.0,-0.37,17
1,0,1,0,0,1,1,0.0,-0.37,19
1,1,0,0,0,1,0,0.0,-0.37,29
1,0,1,0,0,1,0,0.0,-0.37,30
0,1,1,1,1,1,1,0.0,-0.3688944758922249,15
0,0,1,1,1,1,1,0.0,-0.3688944758922249,19
0,0,0,1,1,1,0,0.0,-0.3688944758922249,13
0,1,0,1,1,1,0,0.0,-0.3688944758922249,13
0,1,1,1,1,1,0,0.0,-0.3688944758922249,15
0,0,1,1,1,0,0,0.0,-0.3688944758922249,36
0,1,0,1,1,0,0,0.0,-0.3688944758922249,35
0,1,0,1,1,0,1,0.0,-0.3688944758922249,40
0,0,1,1,1,1,0,0.0,-0.3688944758922249,15
0,1,1,1,1,0,0,0.0,-0.3688944758922249,35
0,0,0,1,1,1,1,0.0,-0.3688944758922249,10
0,0,0,1,1,0,0,0.0,-0.3688944758922249,33
0,0,0,1,1,0,1,0.0,-0.3688944758922249,30
0,1,1,1,1,0,1,0.0,-0.3688944758922249,32
0,1,0,1,1,1,1,0.0,-0.3688944758922249,22
0,0,1,1,1,0,1,0.0,-0.3688944758922249,23
0,0,1,0,1,1,0,0.0,-0.33,1
0,1,1,0,1,1,1,0.0,-0.33,2
0,1,0,0,1,1,1,0.0,-0.33,2
0,1,1,0,1,1,0,0.0,-0.33,1
0,0,0,0,1,0,0,0.0,-0.33,1
0,0,0,0,1,1,0,0.0,-0.33,3
0,1,0,0,1,0,0,0.0,-0.33,2
0,1,1,0,1,0,1,0.0,-0.33,8
0,1,0,0,1,0,1,0.0,-0.33,6
0,0,1,0,1,0,0,0.0,-0.33,8
0,0,1,0,1,0,1,0.0,-0.33,7
0,1,0,0,1,1,0,0.0,-0.33,3
0,1,1,0,1,0,0,0.0,-0.33,3
0,0,1,0,1,1,1,0.0,-0.33,1
0,0,0,0,1,0,1,0.0,-0.33,5
1,1,1,1,0,1,0,0.0,-0.32575814760053734,1
1,0,0,1,0,1,0,0.0,-0.32575814760053734,2
1,1,1,1,0,0,0,0.0,-0.32575814760053734,7
1,0,1,1,0,0,0,0.0,-0.32575814760053734,6
1,1,0,1,0,1,1,0.0,-0.32575814760053734,1
1,1,0,1,0,0,1,0.0,-0.32575814760053734,4
1,0,0,1,0,0,1,0.0,-0.32575814760053734,6
1,1,0,1,0,0,0,0.0,-0.32575814760053734,9
1,0,1,1,0,0,1,0.0,-0.32575814760053734,2
1,1,1,1,0,0,1,0.0,-0.32575814760053734,7
1,1,1,1,0,1,1,0.0,-0.32575814760053734,2
1,1,0,1,0,1,0,0.0,-0.32575814760053734,2
1,0,1,1,0,1,0,0.0,-0.32575814760053734,4
1,0,0,1,0,0,0,0.0,-0.32575814760053734,3
1,0,1,1,0,1,1,0.0,-0.32575814760053734,4
0,0,0,1,0,0,0,0.0,-0.23,1
0,0,1,1,0,0,0,0.0,-0.23,1
